DAY,DATE,STEPS
Tuesday,3/1/2022,5150
Wednesday,3/2/2022,3295
Thursday,3/3/2022,8453
Friday,3/4/2022,7748
Saturday,3/5/2022,5297
Sunday,3/6/2022,6018
Monday,3/7/2022,10415
Tuesday,3/8/2022,20300
Wednesday,3/9/2022,2530
Thursday,3/10/2022,8600
Friday,3/11/2022,13260
Saturday,3/12/2022,3089
Sunday,3/13/2022,8004
Monday,3/14/2022,6473
Tuesday,3/15/2022,13774
Wednesday,3/16/2022,10902
Thursday,3/17/2022,5905
Friday,3/18/2022,14781
Saturday,3/19/2022,13641
Sunday,3/20/2022,7186
Monday,3/21/2022,14958
Tuesday,3/22/2022,10284
Wednesday,3/23/2022,8839
Thursday,3/24/2022,7845
Friday,3/25/2022,1160
Saturday,3/26/2022,8195
Sunday,3/27/2022,9255
Monday,3/28/2022,10510
Tuesday,3/29/2022,8815
Wednesday,3/30/2022,9566
Thursday,3/31/2022,9706
